Audio,Model STT,Model LLM,Reference,Raw Prediction,Fixed Prediction,WER (Raw),WER (Fixed)
common_voice_en_42238716.mp3,Vosk-en-us-0.22,TinyLLaMA-1.1b,Esplen is part of Pittsburgh and is in the Pittsburgh City School district.,as plan is part of pittsburgh and is in the pittsburgh city school district,as plan is part of pittsburgh and is in the pittsburgh city school district,15.38,15.38
common_voice_en_42555516.mp3,Vosk-en-us-0.22,TinyLLaMA-1.1b,Safronov is the nearest rural locality.,saffron of is the nearest rural locality,The saffron of the nearest rural locality,33.33,50.0
common_voice_en_42123909.mp3,Vosk-en-us-0.22,TinyLLaMA-1.1b,Weather forecasting is another critical aspect of sailing yacht management.,weather forecasting is another critical aspect of sailing yacht management,weather forecasting is another critical aspect of sailing yacht management,0.0,0.0
common_voice_en_42527894.mp3,Vosk-en-us-0.22,TinyLLaMA-1.1b,"The group then sing the bridge, and end the song repeating the chorus twice.",the group then seeing the bridge and in the song repeating the chorus twice,the group then seeing the bridge and in the song repeating the chorus twice,14.29,14.29
common_voice_en_42387510.mp3,Vosk-en-us-0.22,TinyLLaMA-1.1b,Typically it encloses a metal grommet for reinforcement and to reduce wear.,typically in and encloses a metal grommet for reinforcement and to reduce were,typically in and encloses a metal grommet for reinforcement and to reduce were,25.0,25.0
common_voice_en_41917490.mp3,Vosk-en-us-0.22,TinyLLaMA-1.1b,"The department is, historically, a prominent producer of gold, silver, and copper.",the department in the told clean up for me name producer of gold sea for and couple,the department in the told clean up for me name producer of gold sea for and couple,91.67,91.67
common_voice_en_41920861.mp3,Vosk-en-us-0.22,TinyLLaMA-1.1b,"According to an old account, there was an important exception to the rule.",according to an older cards there was an important exception to the rule,according to an older cards there was an important exception to the rule,15.38,15.38
common_voice_en_41917515.mp3,Vosk-en-us-0.22,TinyLLaMA-1.1b,One skeleton dances part of the Charleston.,once skeleton does is part of the charleston,Once the skeleton is part of the Charleston.,42.86,42.86
common_voice_en_41974998.mp3,Vosk-en-us-0.22,TinyLLaMA-1.1b,The ghettoization was completed within a week.,the girl asian was completed within a week,The girl was Asian and completed within a week.,28.57,42.86
common_voice_en_42358814.mp3,Vosk-en-us-0.22,TinyLLaMA-1.1b,He then started to study Business administration but broke off after a few semesters.,he then started to study business administration but broke off after a few semesters,"He then started to study business administration, but broke off after a few semesters.",0.0,0.0
common_voice_en_41928094.mp3,Vosk-en-us-0.22,TinyLLaMA-1.1b,Then you're not the man.,then you're not the man,Then you're not the man.,0.0,0.0
common_voice_en_41929248.mp3,Vosk-en-us-0.22,TinyLLaMA-1.1b,The local baseball field is named for him.,the local baseball field is named for eve,the local baseball field is named for eve,12.5,12.5
common_voice_en_41928171.mp3,Vosk-en-us-0.22,TinyLLaMA-1.1b,"These circuits are very frequently fed from transformers, and have significant resistance.",they so cute of are frequently fair from transformers enough significant resistance,they so cute of are frequently fair from transformers enough significant resistance,66.67,66.67
common_voice_en_41962478.mp3,Vosk-en-us-0.22,TinyLLaMA-1.1b,He won his first career race at New Hampshire and finished eighth in points.,he won his first career asia new hampshire and finished eighth in point,He won his first career in Asia and finished eighth in points.,21.43,28.57
common_voice_en_41921421.mp3,Vosk-en-us-0.22,TinyLLaMA-1.1b,She is married to Mathieu Sweeney.,she's married to must use with me,She's married to the man who's going to be with me.,100.0,166.67
common_voice_en_41948210.mp3,Vosk-en-us-0.22,TinyLLaMA-1.1b,"“These others,” he said in a voice of extreme irritation.",these are those he said a new voice of extreme irritation,These are those who said a new voice of extreme irritation.,40.0,50.0
common_voice_en_41920850.mp3,Vosk-en-us-0.22,TinyLLaMA-1.1b,He is quickly killed by Superboy-Prime amidst the chaos.,is quickly killed by super boy prime and missed the chaos,"Superboy, the superhero, is the only one who can save the city.",66.67,111.11
common_voice_en_41930868.mp3,Vosk-en-us-0.22,TinyLLaMA-1.1b,"He attended Iowa State University, where he played defense on the school's football team.",he attended iowa state university where he played defense on the school's football team,He attended Iowa State University where he played for the school's football team.,0.0,14.29
common_voice_en_41917262.mp3,Vosk-en-us-0.22,TinyLLaMA-1.1b,Many highly successful television series have been known as period pieces.,many highly sussex with television series of been known as period pieces,Many highly successful television series have been known as period pieces.,27.27,0.0
common_voice_en_42437221.mp3,Vosk-en-us-0.22,TinyLLaMA-1.1b,Lenny Hart was also the Grateful Dead's original money manager.,lenny heart was also the grateful dead original money manager,The letter l was missing from the beginning of the word lenny.,20.0,100.0
